,segment,speaker,debate,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length
0,"Good evening, again, everyone. This is the first time since Iowa and the only time before the New Hampshire primary that the Republican candidates will have the opportunity to face each other.",muir,r_manchester_2016_02_06,57.34400000000001,5,0,0,10.25,2,0,0,0,32,2,16.0,12.0
1,"The people of Iowa have been heard. Now it's New Hampshire's turn. In just three days, voters here will decide who they think should be the Republican nominee for president.",muir,r_manchester_2016_02_06,143.36,5,0,14,6.73,3,0,0,4,30,3,10.0,5.715476066494082
2,Questions of leadership and character have dominated the news ever since the Iowa caucuses a few days ago. Here with us to question the candidates this evening are Josh McElveen from WMUR here in Manchester and author and commentator Mary Katherine Ham.,raddatz,r_manchester_2016_02_06,98.78399999999999,9,0,10,12.4975,2,0,0,4,42,2,21.0,3.0
3,So let's welcome the candidates for the Republican nomination for president.,muir,r_manchester_2016_02_06,20.160000000000007,4,0,1,14.71,0,1,0,0,11,1,11.0,0.0
4,New Jersey Governor Chris Christie. [applause],muir,r_manchester_2016_02_06,6.0,3,0,0,11.362499999999999,0,0,0,0,6,2,3.0,2.0
5,Dr. Ben Carson. [applause],raddatz,r_manchester_2016_02_06,4.0,2,0,0,4.3375,0,0,0,0,4,2,2.0,1.0
6,Texas Senator Ted Cruz. [applause],muir,r_manchester_2016_02_06,5.0,2,0,0,8.524999999999999,0,0,0,0,5,2,2.5,1.5
7,Businessman Donald Trump. [applause],raddatz,r_manchester_2016_02_06,4.0,3,1,0,15.225000000000001,0,0,0,0,4,2,2.0,1.0
8,Florida Senator Marco Rubio. [applause],muir,r_manchester_2016_02_06,5.0,5,0,0,15.524999999999999,0,0,0,0,5,2,2.5,1.5
9,"Former Florida Governor, Jeb Bush. [applause]",raddatz,r_manchester_2016_02_06,6.0,4,0,0,13.274999999999999,0,0,0,0,6,2,3.0,2.0
10,And Ohio Governor John Kasich. [applause],muir,r_manchester_2016_02_06,6.0,3,0,0,9.185,0,0,0,0,6,2,3.0,2.0
