,segment,speaker,debate,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length,segment_length
0,"Live from the Bank United Center on the campus of the University of Miami, this is the CNN Republican Presidential debate. For our viewers in the United States and around the world, welcome to Miami Florida, I'm Jake Tapper.",tapper,r_miami_2016_03_10,56.000000000000014,9,0,0,11.0375,3,2,0,0,39,2,19.5,1.5,224
1,"In just five days voters will go to the polls here in this state as well as in Ohio, Illinois, North Carolina and Missouri. The race for the Republican nomination for president could change dramatically.",tapper,r_miami_2016_03_10,57.166666666666686,8,0,15,10.3625,4,1,0,2,35,2,17.5,6.5,203
2,Florida and Ohio each have a large number of delegates at stake and they award all of them to the candidate who wins. They're a winner-take-all state. So that's the first time that will happen in this primary season and this is the last debate before that critical round of voting.,tapper,r_miami_2016_03_10,71.5018181818182,7,0,0,8.6525,2,0,0,2,51,3,17.0,9.201449161228174,281
3,We hope tonight the candidates will give the voters specifics on their visions for America.,tapper,r_miami_2016_03_10,63.00000000000002,3,0,1,9.299999999999999,0,1,0,1,15,1,15.0,0.0,91
4,So now let's welcome the candidates.,tapper,r_miami_2016_03_10,7.0,1,0,2,6.6625,0,1,0,0,6,1,6.0,0.0,36
5,Ohio Governor John Kasich.,tapper,r_miami_2016_03_10,4.0,2,1,0,8.799999999999999,0,0,0,0,4,1,4.0,0.0,26
6,Senator Ted Cruz of Texas.,tapper,r_miami_2016_03_10,5.0,1,1,0,4.335,0,0,0,0,5,1,5.0,0.0,26
7,Real estate developer and businessman Donald Trump.,tapper,r_miami_2016_03_10,7.0,4,1,0,13.767499999999998,0,0,0,0,7,1,7.0,0.0,51
8,Senator Marco Rubio of Florida.,tapper,r_miami_2016_03_10,5.0,4,1,0,11.31,0,0,0,0,5,1,5.0,0.0,31
9,"Ladies and gentlemen, the Republican candidates for president of the United States.",tapper,r_miami_2016_03_10,40.319999999999986,3,0,0,13.3875,0,0,0,0,12,1,12.0,0.0,83
10,"Before we begin this evening, we want to remember former first lady Nancy Reagan, who passed away this week. Her funeral will be held tomorrow and we would like to take a moment of silence to remember Nancy Reagan.",tapper,r_miami_2016_03_10,53.23499999999999,4,0,11,9.1075,0,4,0,3,39,2,19.5,0.5,214
11,[moment of silence],tapper,r_miami_2016_03_10,3.0,0,0,0,4.2575,0,0,0,0,3,1,3.0,0.0,19
12,"Now, please rise for our national anthem performed by the Frost Singers from the University of Miami.",tapper,r_miami_2016_03_10,80.91999999999999,5,0,3,10.9725,0,1,0,0,17,1,17.0,0.0,101
13,[the national anthem is performed],tapper,r_miami_2016_03_10,5.0,3,0,5,9.415000000000001,1,0,0,0,5,1,5.0,0.0,34
14,Thanks to the Frost Singers from the University of Miami.,tapper,r_miami_2016_03_10,28.000000000000007,2,0,0,8.175,0,0,0,0,10,1,10.0,0.0,57
15,"Candidates, you can now take your positions behind the podiums while I briefly explain the rules. As moderator, I will attempt to guide the discussion, asking questions and followups. Joining me in the questioning this evening will be Washington Times reporter Stephen Dinan, CNN Chief Political Correspondent Dana Bash, and Salem Radio's Hugh Hewitt.",tapper,r_miami_2016_03_10,141.16666666666663,18,0,10,12.62,3,0,3,1,54,3,18.0,5.0990195135927845,351
