speaker,segment,debate
,"A slate of 10 Democrats vying to become their party’s nominee for president faced one another on Wednesday in Miami, the first of two nights of debate among the 2020 candidates. Below is a transcript of the two-hour event, which we’ll update throughout the night. Click on the yellow highlighted text to see highlights from the Fix via Genius. ",Miami-FL
,Democrats debate: Highlights and how to watch,Miami-FL
GUTHRIE,"All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren.",Miami-FL
GUTHRIE,"Senator, good evening to you.",Miami-FL
WARREN,Thank you. Good to be here.,Miami-FL
GUTHRIE,"You have many plans — free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",Miami-FL
WARREN,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.,Miami-FL
WARREN,"It's doing great for people who want to invest in private prisons, just not for the African Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined.",Miami-FL
WARREN,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",Miami-FL
WARREN,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.",Miami-FL
WARREN,(APPLAUSE),Miami-FL
GUTHRIE,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, “a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?",Miami-FL
KLOBUCHAR,"Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.",Miami-FL
KLOBUCHAR,"So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.",Miami-FL
KLOBUCHAR,"My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications.",Miami-FL
KLOBUCHAR,"Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.",Miami-FL
KLOBUCHAR,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.",Miami-FL
GUTHRIE,"That's time, thank you.",Miami-FL
GUTHRIE,(APPLAUSE),Miami-FL
GUTHRIE,"Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?",Miami-FL
