speaker,segment,debate,n_applauses,n_crosstalks,n_opponent_mentions,n_trump_mentions,lexical_diversity,n_difficult_words,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3,n_words,n_sents,mean_sent_length,std_sent_length,segment_length
,"A slate of 10 Democrats vying to become their party’s nominee for president faced one another on Wednesday in Miami, the first of two nights of debate among the 2020 candidates. Below is a transcript of the two-hour event, which we’ll update throughout the night. Click on the yellow highlighted text to see highlights from the Fix via Genius. ",Miami-FL,0,0,0,0,82.70181818181817,13,4.666666666666667,10.305,0,0,0,1,59,3,19.666666666666668,8.013876853447538,344
,Democrats debate: Highlights and how to watch,Miami-FL,0,0,0,0,7.0,2,0.5,6.2875000000000005,0,0,0,0,7,2,3.5,1.5,45
GUTHRIE,"All right. So with that business out of the way, we want to get to it. And we’ll start this evening with Senator Elizabeth Warren.",Miami-FL,0,0,1,0,87.50000000000006,3,4.333333333333333,5.475,0,1,0,0,25,3,8.333333333333334,4.921607686744467,130
GUTHRIE,"Senator, good evening to you.",Miami-FL,0,0,0,0,5.0,1,0.0,5.615,0,0,0,0,5,1,5.0,0.0,29
WARREN,Thank you. Good to be here.,Miami-FL,0,0,0,0,6.0,0,0.0,-0.45750000000000013,0,0,0,0,6,2,3.0,1.0,27
GUTHRIE,"You have many plans — free college, free child care, government health care, cancellation of student debt, new taxes, new regulations, the breakup of major corporations. But this comes at a time when 71 percent of Americans say the economy is doing well, including 60 percent of Democrats. What do you say to those who worry this kind of significant change could be risky to the economy?",Miami-FL,0,0,0,0,76.45866666666667,11,1.0,11.2325,0,0,2,0,67,3,22.333333333333332,2.8674417556808756,387
WARREN,So I think of it this way. Who is this economy really working for? It's doing great for a thinner and thinner slice at the top. It's doing great for giant drug companies. It's just not doing great for people who are trying to get a prescription filled.,Miami-FL,0,0,0,0,43.12962962962963,7,2.5,4.89,1,0,0,0,48,5,9.6,3.32264954516723,252
WARREN,"It's doing great for people who want to invest in private prisons, just not for the African Americans and Latinx whose families are torn apart, whose lives are destroyed, and whose communities are ruined.",Miami-FL,0,0,0,0,43.53972868217055,10,1.0,15.5625,0,0,0,0,34,1,34.0,0.0,204
WARREN,"It's doing great for giant oil companies that want to drill everywhere, just not for the rest of us who are watching climate change bear down upon us.",Miami-FL,0,0,0,0,117.73999999999997,4,1.0,11.1075,0,0,0,0,28,1,28.0,0.0,150
WARREN,"When you've got a government, when you've got an economy that does great for those with money and isn't doing great for everyone else, that is corruption, pure and simple. We need to call it out. We need to attack it head on. And we need to make structural change in our government, in our economy, and in our country.",Miami-FL,0,0,0,0,21.491691842900302,4,1.0,6.637499999999999,0,6,0,0,60,4,15.0,9.669539802906858,318
WARREN,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
GUTHRIE,"Senator Klobuchar, you've called programs like free college something you might do if you were, quote, “a magic genie.” To be blunt, are the government programs and benefits that some of your rivals are offering giving your voters, people, a false sense of what's actually achievable?",Miami-FL,0,0,1,0,112.04666666666665,9,2.5,20.142500000000002,0,0,4,0,46,2,23.0,4.0,284
KLOBUCHAR,"Well, first, the economy. We know that not everyone is sharing in this prosperity. And Donald Trump just sits in the White House and gloats about what’s going on, when you have so many people that are having trouble affording college and having trouble affording their premiums.",Miami-FL,0,0,0,1,55.61153899721448,6,1.6666666666666667,9.475,0,1,1,1,47,3,15.666666666666666,12.498888839501785,278
KLOBUCHAR,"So I do get concerned about paying for college for rich kids. I do. But I think my plan is a good one. And my plan would be to, first of all, make community college free and make sure that everyone else besides that top percentile gets help with their education.",Miami-FL,0,0,0,0,72.82800000000002,5,1.0,6.8325,5,0,0,1,51,4,12.75,9.522998477370455,262
KLOBUCHAR,"My own dad and my sister got their first degrees with community college. There's many paths to success, as well as certifications.",Miami-FL,0,0,0,0,74.05999999999996,4,3.0,7.76,2,0,0,1,22,2,11.0,2.0,130
KLOBUCHAR,"Secondly, I'd used Pell grants. I'd double them from $6,000 to $12,000 a year and expand it to the number of families that get covered, to families that make up to $100,000.",Miami-FL,0,0,0,0,29.483513513513515,4,2.0,7.092499999999999,0,0,0,0,32,2,16.0,11.0,173
KLOBUCHAR,"And then the third thing I would do is make it easier for students to pay off their student loans. Because I can tell you this: If billionaires can pay off their yachts, students should be able to pay off their student loans.",Miami-FL,0,0,0,0,43.071666666666665,4,0.0,8.4275,2,0,1,3,43,2,21.5,1.5,225
GUTHRIE,"That's time, thank you.",Miami-FL,0,0,0,0,5.0,0,2.0,1.2125,0,0,0,0,4,1,4.0,0.0,23
GUTHRIE,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
GUTHRIE,"Congressman O'Rourke, what we've just been discussing and talking about is how much fundamental change to the economy is desirable and how much is actually doable. In that vein, some Democrats want a marginal individual tax rate of 70 percent on the very highest earners, those making more than $10 million a year. Would you support that? And if not, what would your top individual rate be?",Miami-FL,0,0,1,0,96.68615384615386,13,2.6666666666666665,9.4025,0,0,2,0,67,4,16.75,9.98436277385793,390
O'ROURKE,"This economy has got to work for everyone. And right now, we know that it isn't. And it's going to take all of us coming together to make sure that it does.",Miami-FL,0,0,0,0,53.94666666666666,1,2.75,3.71,0,1,0,0,32,3,10.666666666666666,3.7712361663282534,156
O'ROURKE,(SPEAKING IN SPANISH),Miami-FL,0,0,0,0,3.0,2,0.5,6.005,0,0,0,0,3,1,3.0,0.0,21
O’ROURKE,"Right now, we have a system that favors those who can pay for access and outcomes. That’s how you explain an economy that is rigged to corporations and to the very wealthiest. A $2 trillion tax cut that favored corporations while they were sitting on record piles of cash and the very wealthiest in this country at a time of historic wealth inequality.",Miami-FL,0,0,0,0,89.69333333333331,11,0.5,9.92,0,1,1,1,63,3,21.0,7.0710678118654755,352
O’ROURKE,"A new democracy that is revived because we've returned power to the people, no PACs, no gerrymandering, automatic and same-day voter registration to bring in more voters, and a new Voting Rights Act to get rid of the barriers that are in place now . . .",Miami-FL,0,0,0,0,63.00000000000002,10,0.0,18.5875,0,0,0,0,47,1,47.0,0.0,253
GUTHRIE,Congressman O’Rourke . . .,Miami-FL,0,0,0,0,2.0,1,0.0,25.475,0,0,0,0,5,1,5.0,0.0,26
GUTHRIE,BETO O’ROURKE: That’s how we each have a voice in our democracy and make this economy work for everybody.,Miami-FL,0,0,0,0,19.0,3,0.6666666666666666,9.59,0,2,0,0,19,2,9.5,7.5,105
GUTHRIE,"Congressman, that's time, sir.",Miami-FL,0,0,0,0,5.0,1,0.0,9.4625,0,0,0,0,4,1,4.0,0.0,30
GUTHRIE,(APPLAUSE),Miami-FL,1,0,0,0,1.0,1,0.0,9.0,0,0,0,0,1,1,1.0,0.0,10
