,segment,speaker,debate,segment_length,mtld,n_difficult_words,n_opponent_mentions,n_words_before_main_verb,readability,person_1sg,person_1pl,person_2,person_3
0,"Secretary Clinton and Senator Sanders, you can now move to your lecterns while I explain a few ground rules. As moderator, I'll guide the discussion, asking questions and follow-ups. You'll also get questions from Dana Bash and Errol Louis. You'll each have one minute and 15 seconds to answer questions, 30 seconds for follow- ups. Timing lights will signal when your time is up. Both candidates have agreed to these rules now. Opening statements, you'll each have two minutes.
",blitzer,brookyln_2016_04_14,479,87.48,15,0,20,7.53,3,0,8,0
1,"Let's begin with Senator Sanders. [applause]
",blitzer,brookyln_2016_04_14,45,7.0,2,0,0,10.709999999999999,0,0,0,0
2,"Wolf, thank you very much. CNN, thank you very much. Secretary Clinton, thank you very much.
",sanders,brookyln_2016_04_14,93,10.594594594594593,2,0,7,3.5249999999999995,0,0,3,0
3,"When we began this campaign almost a year ago, we started off at 3 percent in the polls. We were about 70 points behind Secretary Clinton. In the last couple of weeks, there were two polls out there that had us ahead. [applause]
",sanders,brookyln_2016_04_14,229,67.24,7,0,11,6.145,2,6,0,0
4,"Of the last nine caucuses and primaries, we have won eight of them, many of them by landslide victories. [applause]
",sanders,brookyln_2016_04_14,116,37.333333333333336,5,0,10,10.375,0,1,0,0
5,"Over the last year, we have received almost 7 million individual campaign contributions, averaging — guess what — $27 apiece, more individual campaign contributions than any candidate in American history at this point in a campaign.
",sanders,brookyln_2016_04_14,233,57.34400000000001,6,0,17,18.86,4,1,0,1
6,"The reason that our campaign has done so well is because we're doing something very radical: We're telling the American people the truth. And the truth is that this country is not going to move forward in a significant way for working people unless we overturn this disastrous Citizens United Supreme Court decision...[applause]... and unless we have real campaign reform so that billionaires and super PACs cannot buy elections. [applause]
",sanders,brookyln_2016_04_14,441,73.803,13,0,2,17.08,4,6,0,0
7,"This campaign is also determined to end a rigged economy where the rich get richer and everybody else get poorer, and create an economy that works for all of us, not just the 1 percent.
",sanders,brookyln_2016_04_14,186,80.91999999999999,7,0,0,13.8525,1,0,0,0
8,"Thank you.
",sanders,brookyln_2016_04_14,11,2.0,0,0,0,-0.9275,0,0,1,0
9,"Secretary Clinton?
",blitzer,brookyln_2016_04_14,19,2.0,2,0,0,19.05,0,0,0,0
10,"Well, first of all, it's great to be here in New York, and I am delighted to...[applause]... have this chance to discuss the issues that are important to our future. I was so honored to serve as a senator from New York for eight years...[applause]...and to work to provide opportunity for all of our citizens to make it possible that we could knock down the barriers that stand in the way of people getting ahead and staying ahead.
",clinton,brookyln_2016_04_14,432,70.35227272727272,12,0,4,15.184999999999999,8,4,0,2
11,"And during those eight years, we faced some difficult challenges together. We faced 9/11. We worked hard to rebuild New York. I was particularly concerned about our first responders and others who'd been affected in their health by what they had experienced. We worked hard to bring jobs from Buffalo to Albany and all parts of New York to give more hard-working people a chance to really make the most out of their own talents.
",clinton,brookyln_2016_04_14,429,98.43749999999999,11,0,10,8.16,2,5,0,4
12,"And we worked hard to really keep New York values at the center of who we are and what we do together. [applause]
",clinton,brookyln_2016_04_14,114,49.37333333333333,2,0,2,8.065,0,3,0,0
13,"And that is — that is exactly what I want to do as your president. We will celebrate our diversity. We will work together, bringing us back to being united, setting some big, bold, progressive goals for America. That's what I'm offering in this campaign, to build on the work, to build on the value that we share here in New York, to take those to Washington, and to knock down those barriers that in any way hold back not only individual Americans, bur our country from reaching our full potential. That is what my campaign is about. [applause]
",clinton,brookyln_2016_04_14,546,46.76165803108808,15,0,4,9.6875,11,6,2,2
14,"Thank you, Secretary.
",blitzer,brookyln_2016_04_14,22,3.0,1,0,0,10.215,0,0,1,0
15,"We are going to deal with many of the issues both of you just raised. I want to begin with a question that goes right to the heart of which one of you should be the Democratic presidential nominee.
",blitzer,brookyln_2016_04_14,198,47.320000000000014,4,0,3,8.0225,2,1,2,1
16,"Senator Sanders, in the last week, you've raised questions about Secretary Clinton's qualifications to be president. You said that something is clearly lacking in terms of her judgment and you accused her of having a credibility gap.
",blitzer,brookyln_2016_04_14,234,85.17600000000002,11,0,11,12.2825,3,1,3,4
17,"So let me ask you, do you believe that Secretary Clinton has the judgment to be president?
",blitzer,brookyln_2016_04_14,91,80.91999999999999,4,0,8,8.83,0,0,2,0
18,"Well, I've known Secretary Clinton, how long, 25 years?
",sanders,brookyln_2016_04_14,56,9.0,2,0,4,7.052499999999999,1,1,0,0
19,"We worked together in the Senate. And I said that in response to the kind of attacks we were getting from the Clinton, uh, campaign. ""Washington Post"" headline says ""Clinton Campaign says Sanders is Unqualified"" and that's what the surrogates were saying.
",sanders,brookyln_2016_04_14,256,47.06545454545454,10,0,7,11.444999999999999,4,4,0,1
20,"Does Secretary Clinton have the experience and the intelligence to be a president?
",sanders,brookyln_2016_04_14,83,47.320000000000036,5,0,0,13.3125,1,0,0,0
21,"Of course she does. [applause]
",sanders,brookyln_2016_04_14,31,5.0,1,0,0,3.7800000000000002,0,0,0,1
22,"But I do question... [applause]...but I do question her judgment. I question a judgment which voted for the war in Iraq...[applause]...the worst foreign policy blunder in the history of this country, voted for virtually every disastrous trade agreement which cost us millions of decent-paying jobs. And I question her judgment about running super PACs which are collecting tens of millions of dollars from special interests, including $15 million from Wall Street.
",sanders,brookyln_2016_04_14,465,38.36544549977386,18,0,20,13.842500000000001,9,0,0,5
23,"I don't believe that that is...[applause]...the kind of judgment we need to be the kind of president we need.
",sanders,brookyln_2016_04_14,110,19.168333333333333,3,0,3,8.8975,2,2,0,0
24,"Secretary Clinton?
",blitzer,brookyln_2016_04_14,19,2.0,2,0,0,19.05,0,0,0,0
25,"Well, it is true that now that the spotlight is pretty bright here in New York, some things have been said and Senator Sanders did call me unqualified. I've been called a lot of things in my life. That was a first. [laughter]
",clinton,brookyln_2016_04_14,226,77.44000000000003,4,0,25,5.8575,7,1,0,2
26,"And then he did say that... [applause]...he had to question my judgment. Well, the people of New York voted for me twice to be their senator from New York and...[applause]...and...[applause]...and President Obama trusted my judgment enough to ask me to be secretary of State for the United States. [applause]
",clinton,brookyln_2016_04_14,309,49.3125,8,0,11,12.575,2,1,0,3
27,"So, look, we have disagreements on policy. There's no doubt about it. But if you go and read, which I hope all of you will before Tuesday, Senator Sanders' long interview with the ""New York Daily News,"" talk about judgment and talk about the kinds of problems he had answering questions about even his core issue, breaking up the banks.
",clinton,brookyln_2016_04_14,337,115.76444444444441,10,0,31,9.4225,5,1,2,2
28,"When asked, he could not explain how...[laughter]...that would be done and...[applause]...when asked...[applause]...when asked about a number of foreign policy issues, he could not answer about Afghanistan, about Israel, about counterterrorism, except to say if he'd had some paper in front of him, maybe he could.
",clinton,brookyln_2016_04_14,315,45.401015228426395,7,0,27,20.5225,4,0,0,5
29,"I think you need to have the judgment on day one to be both president and commander-in-chief.
",clinton,brookyln_2016_04_14,94,80.91999999999999,3,0,1,8.952499999999999,2,0,1,0
30,"Senator... [applause]
",blitzer,brookyln_2016_04_14,22,2.0,2,0,0,20.075,0,0,0,0
31,"And let's talk about judgment.
",sanders,brookyln_2016_04_14,31,6.0,1,0,1,4.67,0,0,0,0
32,"And let us talk about the worst foreign policy blunder in the modern history of this country... [applause]
",sanders,brookyln_2016_04_14,107,90.71999999999997,5,0,1,9.855,1,0,0,1
33,"I led the opposition to that war. Secretary Clinton voted for that. Well, let's talk about judgment. Let's talk about super PACs and 501(c)(4)s, money which is completely undisclosed.
",sanders,brookyln_2016_04_14,184,47.78666666666667,8,0,5,6.8100000000000005,2,1,0,0
34,"Where does the money come from?
",sanders,brookyln_2016_04_14,32,6.0,0,0,4,2.595,0,0,0,0
35,"Do we really feel confident about a candidate saying that she's going to bring change in America when she is so dependent on big money interests?
",sanders,brookyln_2016_04_14,146,204.11999999999972,5,0,3,13.2575,3,1,0,2
36,"I don't think so. [applause]
",sanders,brookyln_2016_04_14,29,6.0,1,0,3,2.435,1,0,0,0
37,"Well, let me...
",clinton,brookyln_2016_04_14,16,3.0,0,0,2,-1.415,0,1,0,0
38,"We have...
",sanders,brookyln_2016_04_14,11,2.0,0,0,0,-2.3775,0,1,0,0
39,"...let me just say...
",clinton,brookyln_2016_04_14,22,4.0,0,0,1,-0.54,0,0,0,0
40,"...[inaudible]...
",sanders,brookyln_2016_04_14,18,1.0,1,0,0,34.275,1,0,0,0
41,"...let me...let me say...
",clinton,brookyln_2016_04_14,26,5.0,0,0,1,1.0225,0,0,0,0
42,"Madam Secretary, let him finish.
",blitzer,brookyln_2016_04_14,33,5.0,1,0,3,8.3,0,0,0,1
43,"OK.
",clinton,brookyln_2016_04_14,4,1.0,0,0,0,-8.3275,0,0,0,0
44,"Thirdly, we have got to understand that in America, we should be thinking big, not small. [applause]
",sanders,brookyln_2016_04_14,101,80.91999999999999,3,0,4,8.5975,1,2,0,0
45,"Thank you.
",blitzer,brookyln_2016_04_14,11,2.0,0,0,0,-0.9275,0,0,1,0
46,"We need to join the rest of the industrialized world and guarantee health care to all people. So I...[applause]...my [inaudible].
",sanders,brookyln_2016_04_14,130,67.75999999999999,4,0,1,9.212499999999999,4,1,0,1
47,"Thank you, Senator.
",blitzer,brookyln_2016_04_14,20,3.0,1,0,0,8.445,0,0,1,0
48,"Secretary?
",blitzer,brookyln_2016_04_14,11,1.0,1,0,0,26.025,0,0,0,0
49,"Well, make — make no mistake about it, this is not just an attack on me, it's an attack on President Obama. President Obama...[booing]
",clinton,brookyln_2016_04_14,135,11.627094972067038,3,0,0,10.76,3,1,0,0
50,"You know, let me tell you why. You may not like the answer, but I'll tell you why. President Obama had a super PAC when he ran. President Obama took tens of millions of dollars from contributors. And President Obama was not at all influenced when he made the decision to pass and sign Dodd-Frank, the toughest regulations...[applause]...on Wall Street in many a year.
",clinton,brookyln_2016_04_14,368,70.46823529411765,11,0,15,7.3425,3,0,4,2
51,"So this is — this is a phony — this is a phony attack that is designed to raise questions when there is no evidence or support, to undergird the continuation that he is putting forward in these attacks.
",clinton,brookyln_2016_04_14,203,25.75646551724138,8,0,0,15.084999999999999,7,0,0,1
52,"Thank, Secretary. We're going to continue on this, but I want Dana Bash to continue with the questioning.
",blitzer,brookyln_2016_04_14,106,50.54000000000001,3,0,2,10.82,1,1,0,0
53,"Secretary Clint, the government announced yesterday that five of the biggest banks on Wall Street have failed to develop plans to dismantle themselves in the event of another financial crisis. This is the second time in two years those banks neglected to come up with credible plans. So, as president, would you call on regulators to start the process of breaking up these banks? Something that the law not only allows, but actually explicitly encourages?
",bash,brookyln_2016_04_14,456,92.6470588235294,17,0,12,11.5875,3,0,1,1
54,"Absolutely. You know, this is what I've saying for the past year. No bank is too big to fail, no executive too powerful to jail.
",clinton,brookyln_2016_04_14,129,47.32000000000001,3,0,0,5.85,3,0,1,0
55,"I have been talking about what we should be doing under Dodd-Frank. I'm glad that Senator Sanders is now joining in talking about Dodd-Frank, because Dodd-Frank sets forth the approach that needs to be taken. I believe, and I will appoint regulators who are tough enough and ready enough to break up any bank that fails the test under Dodd-Frank.
",clinton,brookyln_2016_04_14,347,65.11750000000002,7,0,4,9.424999999999999,6,1,0,0
56,"There are two sections there. If they fail either one, that they're a systemic risk, a grave risk to our economy, or if they fail the other, that their living wills, which is what you're referring to, is inadequate.
",clinton,brookyln_2016_04_14,216,42.78909090909091,5,0,0,8.950000000000001,5,1,1,4
57,"Let's look at what is at stake here. We can never let Wall Street wreck Main street again. I spoke out against Wall Street when I was a Senator from New York. I have been standing up and saying continuously we have the law. We've got to execute under it. So, you're right. I will move immediately to break up any financial institution, but I go further because I want the law to extend to those that are part of the shadow banking industry. The big insurance companies, the hedge funds, something that I have been arguing for now a long time...
",clinton,brookyln_2016_04_14,545,114.33333333333336,14,0,11,6.3175,13,3,1,3
58,"... Thank you, Secretary. Senator Sanders, you were recently asked what you would replace the big Wall Street banks with if you could break them up. You said, quote, ""That's their decision.""
",bash,brookyln_2016_04_14,191,71.68,5,0,7,7.452500000000001,1,1,5,1
59,"Why would you trust the banks to restructure themselves?
",bash,brookyln_2016_04_14,57,9.0,2,0,3,7.975,0,0,1,1
60,"First, Dana...
",sanders,brookyln_2016_04_14,15,2.0,0,0,0,2.1475000000000004,0,0,0,0
